2016-06-01 14:42:57,618 | cookbook | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:42:59,657 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:42:59,740 | cookbook.views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:42:59,770 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:42:59,813 | cookbook.models | update_from | ERROR | bet this works 
2016-06-01 14:42:59,937 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:43:00,042 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:43:00,075 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:43:00,338 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:43:00,499 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:43:00,532 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:43:00,726 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:43:00,809 | cookbook.views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:43:00,839 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:43:26,355 | cookbook | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:43:28,311 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:43:28,391 | cookbook.views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:43:28,421 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:43:28,461 | cookbook.models | update_from | DEBUG | bet this works 
2016-06-01 14:43:28,576 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:43:28,674 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:43:28,703 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:43:28,938 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:43:29,085 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:43:29,115 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:43:29,296 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:43:29,377 | cookbook.views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:43:29,407 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:44:07,920 | cookbook | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:44:09,875 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:44:09,957 | cookbook.views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:44:09,986 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:44:10,028 | cookbook.models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:44:10,140 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:44:10,240 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:44:10,272 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:44:10,512 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:44:10,663 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:44:10,693 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:44:10,874 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:44:10,954 | cookbook.views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:44:10,984 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:45:01,591 | cookbook | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:45:03,509 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:03,562 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:45:03,595 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:03,625 | cookbook.views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:45:03,655 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:45:03,698 | cookbook.models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:45:03,769 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:03,806 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:45:03,836 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:03,868 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:45:03,900 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:45:04,094 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:04,138 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:45:04,171 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:04,206 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:45:04,243 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:45:04,404 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:04,440 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:45:04,469 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:04,500 | cookbook.views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:45:04,529 | cookbook.views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:45:12,615 | cookbook | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:45:14,509 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:37,470 | cookbook.views | <module> | DEBUG | can you see this? 
2016-06-01 14:45:40,201 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:45:40,233 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:42,457 | cookbook.views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:45:42,486 | cookbook.views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:45:42,528 | cookbook.models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:45:42,598 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:43,681 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:45:43,710 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:44,688 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:45:44,719 | cookbook.views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:45:44,888 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:45:45,982 | cookbook.views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:45:46,010 | cookbook.views | index | DEBUG | getting index 
2016-06-01 14:51:48,457 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:51:50,413 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:51:50,493 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:51:50,523 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:51:50,565 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:51:50,680 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:51:50,775 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:51:50,805 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:51:51,038 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:51:51,193 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:51:51,224 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:51:51,405 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:51:51,484 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:51:51,513 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:52:09,217 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:52:11,184 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:52:11,265 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:52:11,296 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:52:11,338 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-01 14:52:11,450 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:52:11,546 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-01 14:52:11,576 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-01 14:52:11,809 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:52:11,957 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 14:52:11,987 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 14:52:12,167 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:52:12,250 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 14:52:12,279 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 14:52:45,492 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 14:52:47,510 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:52:47,594 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 14:52:47,624 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 14:53:08,960 | __init__ | <module> | WARNING | THE APP IS STARTING 
