2016-06-02 08:27:50,210 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:27:50,213 | models | <module> | DEBUG | loading models.py 
2016-06-02 08:27:50,388 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-02 08:27:50,417 | views | <module> | DEBUG | loading views.py 
2016-06-02 08:27:52,339 | views | create_object | DEBUG | POST request for departments: 
2016-06-02 08:27:52,358 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:27:52,394 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-02 08:27:52,401 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:27:52,431 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:27:52,486 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-02 08:27:52,515 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:27:52,555 | views | update_object | DEBUG | PUT request for departments: 
2016-06-02 08:27:52,558 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-02 08:27:52,562 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-02 08:27:52,595 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:27:52,625 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:27:52,634 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-02 08:27:52,677 | views | delete_object | DEBUG | DELETE request for ingredients 1: 
2016-06-02 08:27:52,684 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-02 08:27:52,714 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-02 08:27:52,783 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-02 08:27:52,812 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-02 08:27:52,852 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-02 08:27:52,855 | views | update_object | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-02 08:27:52,894 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-02 08:27:52,897 | views | update_object | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-02 08:27:52,936 | views | create_object | DEBUG | POST request for recipes: 
2016-06-02 08:27:52,996 | views | create_object | DEBUG | POST request for recipes: 
2016-06-02 08:27:53,013 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-02 08:27:53,073 | views | delete_object | DEBUG | DELETE request for recipes 1: 
2016-06-02 08:27:53,085 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-02 08:27:53,115 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-02 08:27:53,236 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-02 08:27:53,265 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-02 08:27:53,354 | views | update_object | DEBUG | PUT request for recipes: 
2016-06-02 08:27:53,357 | views | update_object | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-02 08:27:53,408 | views | create_object | DEBUG | POST request for units: 
2016-06-02 08:27:53,417 | views | get_objects | DEBUG | GET request for all units 
2016-06-02 08:27:53,453 | views | delete_object | DEBUG | DELETE request for units 1: 
2016-06-02 08:27:53,460 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-02 08:27:53,490 | views | get_objects | DEBUG | GET request for all units 
2016-06-02 08:27:53,543 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-02 08:27:53,575 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-02 08:27:53,609 | views | update_object | DEBUG | PUT request for units: 
2016-06-02 08:27:53,611 | views | update_object | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-02 08:28:21,970 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:28:21,974 | models | <module> | DEBUG | loading models.py 
2016-06-02 08:28:22,069 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-02 08:28:22,095 | views | <module> | DEBUG | loading views.py 
2016-06-02 08:28:23,986 | views | create_object | DEBUG | POST request for departments: 
2016-06-02 08:28:24,000 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:28:24,038 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-02 08:28:24,046 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:28:24,075 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:28:24,128 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-02 08:28:24,157 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:28:24,197 | views | update_object | DEBUG | PUT request for departments: 
2016-06-02 08:28:24,200 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-02 08:28:24,204 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-02 08:28:24,237 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:28:24,266 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:28:24,279 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-02 08:28:24,319 | views | delete_object | DEBUG | DELETE request for ingredients 1: 
2016-06-02 08:28:24,326 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-02 08:28:24,355 | views | get_objects | DEBUG | GET request for all ingredients 
2016-06-02 08:28:24,424 | views | get_object | DEBUG | GET request for ingredients: id: 15 
2016-06-02 08:28:24,454 | views | get_object | DEBUG | GET request for ingredients: id: 1 
2016-06-02 08:28:24,493 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-02 08:28:24,496 | views | update_object | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-02 08:28:24,535 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-02 08:28:24,538 | views | update_object | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-02 08:28:24,572 | views | create_object | DEBUG | POST request for recipes: 
2016-06-02 08:28:24,618 | views | create_object | DEBUG | POST request for recipes: 
2016-06-02 08:28:24,635 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-02 08:28:24,697 | views | delete_object | DEBUG | DELETE request for recipes 1: 
2016-06-02 08:28:24,709 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-02 08:28:24,739 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-02 08:28:24,855 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-02 08:28:24,884 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-02 08:28:24,973 | views | update_object | DEBUG | PUT request for recipes: 
2016-06-02 08:28:24,976 | views | update_object | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-02 08:28:25,028 | views | create_object | DEBUG | POST request for units: 
2016-06-02 08:28:25,035 | views | get_objects | DEBUG | GET request for all units 
2016-06-02 08:28:25,071 | views | delete_object | DEBUG | DELETE request for units 1: 
2016-06-02 08:28:25,078 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-02 08:28:25,107 | views | get_objects | DEBUG | GET request for all units 
2016-06-02 08:28:25,158 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-02 08:28:25,188 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-02 08:28:25,221 | views | update_object | DEBUG | PUT request for units: 
2016-06-02 08:28:25,224 | views | update_object | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-02 08:50:29,019 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:50:29,040 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:50:29,657 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:51:11,622 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-02 08:51:11,631 | models | <module> | DEBUG | loading models.py 
2016-06-02 08:51:11,730 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-02 08:51:11,759 | views | <module> | DEBUG | loading views.py 
2016-06-02 08:51:13,697 | views | create_object | DEBUG | POST request for departments: 
2016-06-02 08:51:13,713 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:51:13,749 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-02 08:51:13,756 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:51:13,786 | views | get_objects | DEBUG | GET request for all departments 
2016-06-02 08:51:13,839 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-02 08:51:13,869 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-02 08:51:13,910 | views | update_object | DEBUG | PUT request for departments: 
2016-06-02 08:51:13,911 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-02 08:51:13,915 | models | update_from | DEBUG | Updating Produce from floral 
2016-06-02 08:51:13,948 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:51:13,977 | views | create_object | DEBUG | POST request for ingredients: 
2016-06-02 08:51:13,989 | views | get_objects | DEBUG | GET request for all ingredients 
